FID Name Type Covariate R2 pvalue
23420 "Free Cholesterol in VLDL" Metabolites batch 0.00238 3e-143
23420 "Free Cholesterol in VLDL" Metabolites bmi 0.03901 0
23420 "Free Cholesterol in VLDL" Metabolites fasting 0.00013 5e-10
23420 "Free Cholesterol in VLDL" Metabolites month_attending 0.00113 1e-65
23420 "Free Cholesterol in VLDL" Metabolites sex 0.02039 0
23420 "Free Cholesterol in VLDL" Metabolites smoking 0.00212 2e-137
23420 "Free Cholesterol in VLDL" Metabolites spectrometer 0.00389 1e-245
23420 "Free Cholesterol in VLDL" Metabolites time_analysis 0.00049 2e-21
23420 "Free Cholesterol in VLDL" Metabolites time_day 0.00047 3e-32
23421 "Free Cholesterol in LDL" Metabolites PCs 0.00097 8e-34
23421 "Free Cholesterol in LDL" Metabolites age_recruitment 0.01909 0
23421 "Free Cholesterol in LDL" Metabolites assessment_centre 0.00291 2e-170
23421 "Free Cholesterol in LDL" Metabolites batch 0.00411 6e-253
23421 "Free Cholesterol in LDL" Metabolites bmi 0.00557 0
23421 "Free Cholesterol in LDL" Metabolites fasting 0.00178 4e-117
23421 "Free Cholesterol in LDL" Metabolites month_attending 0.00084 3e-47
23421 "Free Cholesterol in LDL" Metabolites sex 0.03021 0
23421 "Free Cholesterol in LDL" Metabolites smoking 0.00122 8e-80
23421 "Free Cholesterol in LDL" Metabolites spectrometer 0.02526 0
23421 "Free Cholesterol in LDL" Metabolites time_analysis 0.00565 0
23421 "Free Cholesterol in LDL" Metabolites time_day 0.00522 0
23422 "Free Cholesterol in HDL" Metabolites PCs 0.00369 9e-117
23422 "Free Cholesterol in HDL" Metabolites age_recruitment 0.00542 0
23422 "Free Cholesterol in HDL" Metabolites assessment_centre 0.00312 7e-238
23422 "Free Cholesterol in HDL" Metabolites batch 0.00377 3e-297
23422 "Free Cholesterol in HDL" Metabolites bmi 0.06945 0
23422 "Free Cholesterol in HDL" Metabolites fasting 8e-05 6e-08
23422 "Free Cholesterol in HDL" Metabolites month_attending 0.00078 6e-57
23422 "Free Cholesterol in HDL" Metabolites sex 0.19095 0
23422 "Free Cholesterol in HDL" Metabolites smoking 0.00111 7e-92
23422 "Free Cholesterol in HDL" Metabolites spectrometer 0.00752 0
23422 "Free Cholesterol in HDL" Metabolites time_analysis 0.00399 0
23422 "Free Cholesterol in HDL" Metabolites time_day 0.00713 0
23423 "Total Lipids in Lipoprotein Particles" Metabolites PCs 0.007 0
23423 "Total Lipids in Lipoprotein Particles" Metabolites age_recruitment 0.02815 0
23423 "Total Lipids in Lipoprotein Particles" Metabolites assessment_centre 0.00475 3e-289
23423 "Total Lipids in Lipoprotein Particles" Metabolites batch 0.00655 0
23423 "Total Lipids in Lipoprotein Particles" Metabolites bmi 0.00046 6e-32
23423 "Total Lipids in Lipoprotein Particles" Metabolites fasting 2e-05 0.008
23423 "Total Lipids in Lipoprotein Particles" Metabolites month_attending 0.00156 4e-93
23423 "Total Lipids in Lipoprotein Particles" Metabolites sex 0.03773 0
23423 "Total Lipids in Lipoprotein Particles" Metabolites smoking 0.00034 4e-23
23423 "Total Lipids in Lipoprotein Particles" Metabolites spectrometer 0.01601 0
23423 "Total Lipids in Lipoprotein Particles" Metabolites time_analysis 0.00694 0
23423 "Total Lipids in Lipoprotein Particles" Metabolites time_day 0.00116 1e-77
23424 "Total Lipids in VLDL" Metabolites PCs 0.009 0
23424 "Total Lipids in VLDL" Metabolites age_recruitment 0.02001 0
23424 "Total Lipids in VLDL" Metabolites assessment_centre 0.00542 0
23424 "Total Lipids in VLDL" Metabolites batch 0.00234 8e-148
23424 "Total Lipids in VLDL" Metabolites bmi 0.06269 0
23424 "Total Lipids in VLDL" Metabolites fasting 0.00114 4e-79
23424 "Total Lipids in VLDL" Metabolites month_attending 0.00105 2e-63
23424 "Total Lipids in VLDL" Metabolites sex 0.03511 0
23424 "Total Lipids in VLDL" Metabolites smoking 0.003 1e-203
23424 "Total Lipids in VLDL" Metabolites spectrometer 0.00288 7e-190
23424 "Total Lipids in VLDL" Metabolites time_analysis 0.00085 3e-45
23424 "Total Lipids in VLDL" Metabolites time_day 0.00149 2e-103
23425 "Total Lipids in LDL" Metabolites PCs 0.00208 2e-110
23425 "Total Lipids in LDL" Metabolites age_recruitment 0.02449 0
23425 "Total Lipids in LDL" Metabolites assessment_centre 0.00345 6e-202
23425 "Total Lipids in LDL" Metabolites batch 0.00576 0
23425 "Total Lipids in LDL" Metabolites bmi 8e-05 8e-07
23425 "Total Lipids in LDL" Metabolites fasting 0.00088 3e-58
23425 "Total Lipids in LDL" Metabolites month_attending 0.00103 2e-58
23425 "Total Lipids in LDL" Metabolites sex 0.01982 0
23425 "Total Lipids in LDL" Metabolites smoking 0.00034 3e-22
23425 "Total Lipids in LDL" Metabolites spectrometer 0.02295 0
23425 "Total Lipids in LDL" Metabolites time_analysis 0.00847 0
23425 "Total Lipids in LDL" Metabolites time_day 0.00306 2e-197
23426 "Total Lipids in HDL" Metabolites PCs 0.00427 1e-162
23426 "Total Lipids in HDL" Metabolites age_recruitment 0.00526 0
23426 "Total Lipids in HDL" Metabolites assessment_centre 0.0025 4e-182
23426 "Total Lipids in HDL" Metabolites batch 0.00488 0
23426 "Total Lipids in HDL" Metabolites bmi 0.05434 0
23426 "Total Lipids in HDL" Metabolites fasting 8e-05 3e-08
23426 "Total Lipids in HDL" Metabolites month_attending 0.00086 1e-61
23426 "Total Lipids in HDL" Metabolites sex 0.179 0
23426 "Total Lipids in HDL" Metabolites smoking 0.00163 3e-131
23426 "Total Lipids in HDL" Metabolites spectrometer 0.01017 0
23426 "Total Lipids in HDL" Metabolites time_analysis 0.00512 0
